fund,fund_code,snapshot_date,source_url,raw_file,raw_sha256,status,num_holdings,total_weight,captured_at_utc
easybalanced,EASYBF,2026-06-30,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260630.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260630.csv,cc02b276004d1f35feca5af90099cd9dc858446b11a135984e277588c8ca8354,new,27,99.7,2026-06-30T11:50:23Z
easybalanced,EASYBF,2026-07-01,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260701.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260701.csv,aa332cc308b2c9b08b1c294951a268111edb0264010dea19b2f88f295f926ff6,new,27,99.68,2026-07-01T12:17:19Z
easybalanced,EASYBF,2026-07-02,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260702.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260702.csv,5a71d65a0be4fdedba37c4850b29e50f2b6c8c57f3ee843c54aaa7feec0b74a2,new,27,99.67,2026-07-02T11:43:35Z
easybalanced,EASYBF,2026-07-03,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260703.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260703.csv,f7a66750c2b89cac9e8024a99f6551408a32d2b94a9936e8195b3dc01ff33d23,new,27,99.7,2026-07-03T11:42:04Z
easybalanced,EASYBF,2026-07-06,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260706.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260706.csv,380bf589fae9306cfdd6b6329180ee195e4c0eb8839e72139a6c84317dfd98de,new,27,99.63,2026-07-06T12:58:51Z
easybalanced,EASYBF,2026-07-07,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260707.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260707.csv,165d7a51205f6db7829daafd65ee60b1013f83cdbba4277ff30de5dd421b7697,new,27,99.67,2026-07-07T12:09:52Z
easybalanced,EASYBF,2026-07-08,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260708.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260708.csv,bb8c3a0790767f0171bc7e88579dd11fed74797ed3774289b52cfe2a41972823,new,27,99.82,2026-07-08T11:18:05Z
easybalanced,EASYBF,2026-07-09,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260709.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260709.csv,0bf7dc55205021b9e467344dc3ff25277205efdd883a1bbd64e644e5c5e48a80,new,27,99.68,2026-07-09T12:20:54Z
easybalanced,EASYBF,2026-07-10,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260710.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260710.csv,ac16d1136a5330ed0b05fc24d6a21e2d1e3f9bc3de2e5c13ae16724081b5b130,new,27,99.68,2026-07-10T12:08:39Z
easybalanced,EASYBF,2026-07-13,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260713.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260713.csv,8367d8fa419c424b17a82396b094ecbc7eab60ee12e2b8b81deb138afb2891a8,new,27,99.74,2026-07-13T12:16:59Z
easybalanced,EASYBF,2026-07-14,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260714.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260714.csv,6cd08d5b4a9f3233d230d981000c88924560a364f781019f9cee7cbe00ba919b,new,27,99.8,2026-07-14T10:56:20Z
easybalanced,EASYBF,2026-07-15,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260715.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260715.csv,791a10e9931893eae3ff1daff5f37ef08a76b71e04285ee541772e4a0765f147,new,27,99.71,2026-07-15T11:01:56Z
easyge,EASYGE,2026-05-08,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYGE_PCF_ZAR_20260508.csv,data/raw/easyge/EASYGE_PCF_ZAR_20260508.csv,603c90569e71df3ad7494e6ea1c607e4e6d062bd838084ba79a7bb1f13391cda,duplicate,33,99.82,2026-05-10T04:15:32Z
easyge,EASYGE,2026-05-11,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYGE_PCF_ZAR_20260511.csv,data/raw/easyge/EASYGE_PCF_ZAR_20260511.csv,a4517efaf467465ea18d59bb8128d34c408fe3bc07b1ac52b47e69898010744d,new,33,99.84,2026-05-11T08:36:45Z
easyge,EASYGE,2026-05-12,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYGE_PCF_ZAR_20260512.csv,data/raw/easyge/EASYGE_PCF_ZAR_20260512.csv,c5dd69dd3bf3c544d1d5fe706efbf32f0690749913f2c80e6c389e384096975b,new,33,99.77,2026-05-12T07:43:29Z
easyge,EASYGE,2026-05-13,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYGE_PCF_ZAR_20260513.csv,data/raw/easyge/EASYGE_PCF_ZAR_20260513.csv,dc066dc6e8f2932feee698ed0783387bd81c542a215eaaaf79e33660f0977baa,new,33,99.77,2026-05-13T11:37:32Z
easyge,EASYGE,2026-05-14,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYGE_PCF_ZAR_20260514.csv,data/raw/easyge/EASYGE_PCF_ZAR_20260514.csv,bf798c8b9540d5146f3c708fcd24e301f08b815be7b079bb5c3652cc6a8747a4,new,33,99.84,2026-05-14T09:33:36Z
easyge,EASYGE,2026-05-15,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYGE_PCF_ZAR_20260515.csv,data/raw/easyge/EASYGE_PCF_ZAR_20260515.csv,8412fbb10a7ecff179ca0f352a9b821faff4ce8b049b973933833c4a71607385,new,33,99.81,2026-05-15T11:30:25Z
easyge,EASYGE,2026-05-18,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYGE_PCF_ZAR_20260518.csv,data/raw/easyge/EASYGE_PCF_ZAR_20260518.csv,9667469d2d3aa75f2242636063a856ecdf617a43b5b167252e0b075ece2c9248,new,33,99.76,2026-05-18T12:48:40Z
